Time,Input,Output,Temperature,Drive
0.0501134,0.0780692,0.0261497,30.5095,0.3
0.0503401,0.228008,0.0760023,30.1928,0.3
0.0505669,0.360027,0.124858,34.5863,0.3
0.0507937,0.464835,0.16907,40.1741,0.3
0.0510204,0.536692,0.203019,45.0822,0.3
0.0512472,0.574005,0.223011,48.5473,0.3
0.0514739,0.579278,0.228274,50.3399,0.3
0.0517007,0.558434,0.220779,50.5914,0.3
0.0519274,0.519654,0.204823,49.9421,0.3
0.0521542,0.471906,0.184399,48.5826,0.3
0.052381,0.423474,0.163274,46.7123,0.3
0.0526077,0.380676,0.14441,44.6066,0.3
0.0528345,0.347024,0.129441,42.5325,0.3
0.0530612,0.322933,0.118587,40.686,0.3
0.053288,0.306004,0.110883,39.1567,0.3
0.0535147,0.291813,0.104589,37.9182,0.3
0.0537415,0.275018,0.0976358,36.8451,0.3
0.0539683,0.250602,0.0881071,35.7487,0.3
0.054195,0.214964,0.0746852,34.4236,0.3
0.0544218,0.166705,0.0570048,32.6964,0.3
0.0546485,0.106928,0.0357931,30.4647,0.3
0.0548753,0.0390343,0.0127143,27.7214,0.3
0.055102,-0.0319545,-0.0101197,25.0103,0.3
0.0553288,-0.100405,-0.0316698,24.6578,0.3
0.0555556,-0.161183,-0.0518225,26.5403,0.3
0.0557823,-0.21069,-0.0694783,29.0893,0.3
0.0560091,-0.247572,-0.0835152,31.4374,0.3
0.0562358,-0.272984,-0.0937129,33.2905,0.3
0.0564626,-0.290332,-0.100922,34.6384,0.3
0.0566893,-0.30454,-0.106823,35.6339,0.3
0.0569161,-0.320969,-0.113471,36.5163,0.3
0.0571429,-0.344192,-0.122763,37.5435,0.3
0.0573696,-0.376852,-0.135982,38.9257,0.3
0.0575964,-0.41884,-0.153428,40.7694,0.3
0.0578231,-0.466951,-0.174152,43.0388,0.3
0.0580499,-0.515118,-0.195832,45.5432,0.3
0.0582766,-0.555205,-0.214893,47.9538,0.3
0.0585034,-0.578243,-0.22698,49.8474,0.3
0.0587302,-0.575909,-0.227777,50.7712,0.3
0.0589569,-0.541988,-0.214385,50.536,0.3
0.0591837,-0.473599,-0.186001,49.2096,0.3
